IBM.Date,IBM.Open,IBM.High,IBM.Low,IBM.Close,IBM.Volume,IBM.Adj.Close,SP.Date,SP.Open,SP.High,SP.Low,SP.Close,SP.Volume,SP.Adj.Close
2/1/2017,175,178.619995,172.889999,176.169998,3484800,176.169998,2/1/2017,2285.590088,2299.399902,2271.649902,2294.669922,4183251600,2294.669922
1/3/2017,167,179.25,165.339996,174.520004,4644900,173.150925,1/3/2017,2251.570068,2300.98999,2245.129883,2278.870117,3728531500,2278.870117
12/1/2016,161.949997,169.949997,158.300003,165.990005,3448700,164.687836,12/1/2016,2200.169922,2277.530029,2187.439941,2238.830078,3710578000,2238.830078
11/1/2016,153.5,164.660004,151,162.220001,3844600,160.947403,11/1/2016,2128.679932,2214.100098,2083.790039,2198.810059,4468273300,2198.810059
10/3/2016,158.059998,158.529999,147.789993,153.690002,3899000,151.113403,10/3/2016,2164.330078,2169.600098,2114.719971,2126.149902,3672334700,2126.149902
9/1/2016,158.320007,165,153.210007,158.850006,3501600,156.186905,9/1/2016,2171.330078,2187.870117,2119.120117,2168.27002,3878265700,2168.27002
8/1/2016,160.649994,164.949997,157.850006,158.880005,3131700,156.2164,8/1/2016,2173.149902,2193.810059,2147.580078,2170.949951,3451160800,2170.949951
7/1/2016,151.779999,163.600006,149.919998,160.619995,3648600,156.574951,7/1/2016,2099.340088,2177.090088,2074.02002,2173.600098,3678454500,2173.600098
6/1/2016,153,155.479996,142.5,151.779999,3678500,147.957581,6/1/2016,2093.939941,2120.550049,1991.680054,2098.860107,4157978100,2098.860107
5/2/2016,146.559998,153.809998,142.899994,153.740005,3857300,149.868225,5/2/2016,2067.169922,2103.47998,2025.910034,2096.949951,3971333800,2096.949951
4/1/2016,150.509995,153.520004,142.610001,145.940002,4660200,140.904846,4/1/2016,2056.620117,2111.050049,2033.800049,2065.300049,4087129000,2065.300049
3/1/2016,132.240005,153.100006,132.029999,151.449997,5114800,146.224731,3/1/2016,1937.089966,2072.209961,1937.089966,2059.73999,4379759000,2059.73999
2/1/2016,124.400002,134.919998,116.900002,131.029999,5557100,126.509262,2/1/2016,1936.939941,1962.959961,1810.099976,1932.22998,4881887000,1932.22998
1/4/2016,135.600006,136.889999,118,124.790001,7072000,119.266312,1/4/2016,2038.199951,2038.199951,1812.290039,1940.23999,5153017800,1940.23999
12/1/2015,139.580002,141.399994,133.910004,137.619995,4619900,131.528397,12/1/2015,2082.929932,2104.27002,1993.26001,2043.939941,3922935900,2043.939941
11/2/2015,140.5,142.800003,131.649994,139.419998,4499100,133.248718,11/2/2015,2080.76001,2116.47998,2019.390015,2080.409912,4007931000,2080.409912
10/1/2015,145.309998,153.149994,137.330002,140.080002,5652800,132.635361,10/1/2015,1919.650024,2094.320068,1893.699951,2079.360107,4095504500,2079.360107
9/1/2015,144.910004,149.679993,141.149994,144.970001,4083700,137.265488,9/1/2015,1970.089966,2020.859985,1871.910034,1920.030029,4024497100,1920.030029
8/3/2015,161.699997,161.850006,140.619995,147.889999,4656700,140.030304,8/3/2015,2104.48999,2112.659912,1867.01001,1972.180054,4216280400,1972.180054
7/1/2015,163.970001,173.779999,158.5,161.990005,4426000,152.118149,7/1/2015,2067,2132.820068,2044.02002,2103.840088,3709178600,2103.840088
