Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
Vanity Fair	Comedy	PG-13	UK / USA	4	0	0	n	23000000	6268925	9.3.04	1051	16123851	204693
Veer Zaara	Drama		India		0	0	n	7000000	843010	11.12.04	88	2921738	1889204
Vera Drake	Drama	R	UK / France / New Zealand	4	2	0	n		13207	10.15.04	2	3753806	1447099
Voices of Iraq	Documentary		USA / Iraq		0	0	n		30634	10.29.04	12	57102	
Walking Tall	Action 	PG-13	USA	2	0	0	n	56000000	15501114	4.2.04	2836	45860039	757990
"We Don't Live Here Anymore"	Drama	R	USA / Canada	2	0	0	n	3000000	101295	8.13.04	7	2037545	28954
Welcome to Mooseport	Comedy	PG-13	USA 	3	0	0	n	26000000	6775132	2.20.04	2867	14469428	
What the xxx Do We Know?	Comedy	R	USA	2.5	0	0	n		7656	2.27.04	1	10941801	
White Chicks	Crime	PG-13	USA	1.5	0	0	n		19676748	6.25.04	2726	69148997	3481868
Wicker Park	Drama	PG-13	USA	3	0	0	n	30000000	6819393	9.3.04	2598	12831121	624410
"William Shakespeare's The Merchant of Venice"	Drama	R	USA / Italy / Luxembourg / UK	3	0	0	n	30000000	69868	12.31.04	4	3752725	696223
Wimbledon	Comedy	PG-13	UK / France	3	0	0	n	31000000	7118985	9.17.04	2034	16831505	6886568
Win a Date with Tad Hamilton!	Comedy	PG-13	USA 	3	0	0	n	24000000	7320066	1.23.04	2711	16964743	211020
Without a Paddle	Comedy	PG-13	USA		0	0	n	19000000	13528946	8.20.04	2730	58156435	2408438
Woman Thou Art Loosed	Drama	R	USA		0	0	n		2325474	10.1.04	408	6879730	
Wooly Boys	Comedy	PG	USA		0	0	n		335726	1.23.04		335726	
You Got Served	Drama 	PG-13	USA		0	0	n	8000000	16123105	1.30.04	1933	40066497	142750
Young Adam	Drama	NC-17/R	UK / France	3.5	0	0	n		50278	4.16.04	9	767240	530248
Yu-Gi-Oh!	Action	PG	Japan		0	0	n		9485494	8.13.04	2411	19762690	266254
Yuva	Drama		India		0	0	n		211000	5.21.04	30	280100	57889
Zatoichi	Action	R	Japan	3.5	0	0	n		61104	7.23.04	4	853718	329723
Zelary	Romance	R	Czech Republic / Slovakia / Austria		0	0	n		29002	9.17.04	6	329723	
