Movie	Genre	MPAA rating	Origin	Roger Ebert	Nominations	Wins	Sequel	Budget	First weekend gross	Month of opening weekend releas	First weekend number of screens	Total domestic gross	Total UK gross
Scooby-Doo 2: Monsters Unleashed	Comedy	PG	USA	2	0	0	y		29438331	3.26.04	3312	84185387	16372417
Secret Window	Drama 	PG-13	USA	3	0	0	n	40000000	18237568	3.12.04	3018	47781388	2219148
Seducing Doctor Lewis	Comedy		Canada		0	0	n		7164	6.18.04	1	489338	
Seed of Chucky	Comedy	R	USA	2	0	0	y	12000000	8774520	11.12.04	2059	17016190	226837
Shall We Dance	Drama	PG-13	USA	3	0	0	n	40000000	11783467	10.15.04	1772	57887882	3776565
Shaolin Soccer	Action 	PG	Hong Kong / China 	3	0	0	n		39167	4.2.04	6	488872	
Shark Tale	Animation	PG	USA	2	0	0	n	75000000	47604606	10.1.04	4016	160762022	22749408
Shaun of the Dead	Comedy	R	UK / France	3	0	0	n	4000000	3330781	9.24.04	607	13464388	6463463
She Hate Me	Comedy	R	USA	3	0	0	n		55016	7.30.04	11	365134	
Short Cut to Nirvana: Kumbh Mela	Documentary		USA		0	0	n	200000	3263	10.29.04	1	310466	
Shrek 2	Adventure	PG	USA	3	0	0	y	75000000	108037878	5.21.04	4163	436471036	47548741
Sideways	Adventure	R	USA	4	4	0	n	16000000	207042	10.22.04	4	71502303	2676546
Silver City	Drama	R	USA	3.5	0	0	n		337484	9.17.04	114	1017376	
Since Otar Left	Drama		France / Belgium	3	0	0	n		13763	4.30.04	2	344974	
Sky Captain and the World of Tomorrow	Sci-Fi	PG	USA / UK / Italy	4	0	0	n	40000000	15580278	9.17.04	3170	37760080	1283945
Sleepover	Comedy	PG	USA	1	0	0	n	10000000	4171226	7.9.04	2207	8070311	
Soul Plane	Comedy	R	USA		0	0	n	16000000	7008711	5.28.04	1566	13922211	
Spanglish	Comedy	PG-13	USA	3	0	0	n	80000000	8817853	12.17.04	2438	42044321	308414
Spartan	Thriller	R	USA / Germany 	4	0	0	n		2011435	3.12.04	832	4434432	139073
Spider-Man 2	Action	PG-13	USA	4	0	0	y	200000000	115817364	7.2.04	4152	373377893	26419256
Spring Summer Fall Winter and Spring	Drama	R	South Korea / Germany 		0	0	n		42561	4.2.04	6	2380788	
Stage Beauty	Drama 	R	UK / Germany / USA	3	0	0	n		38654	10.8.04	3	776691	128035
Starsky & Hutch	Action	PG-13	USA	3	0	0	n	60000000	28103367	3.5.04	3185	88200225	12470331
Stateside	Drama	R	USA / Germany	2	0	0	n	16000000	113620	5.21.04	156	174318	
"Stephen King's Riding the Bullet"	Horror	R	USA / Germany / Canada		0	0	n	5000000	101107	10.15.04	100	101107	
Still We Believe: The Boston Red Sox Movie	Documentary	PG	USA		0	0	n		91388	5.7.04	17	395362	
Strayed	Drama		France / UK	3	0	0	n		19531	5.14.04	2	482357	
Super Babies: Baby Geniuses 2	Comedy	PG	Germany / UK / USA		0	0	y		3251856	8.27.04	1276	9109322	
Super Size Me	Documentary	PG	USA	3	0	0	n	300000	516641	5.7.04	41	11529368	809046
Surviving Christmas	Comedy	PG-13	USA		0	0	n		4441356	10.22.04	2750	11198345	
Suspect Zero	Thriller	R	USA	2	0	0	n	27000000	3446375	8.27.04	1500	8712564	
Swades	Drama		India		0	0	n		424804	12.17.04	74	1223240	320615
Tae Guk Gi: The Brotherhood of War	Action	R	South Korea		0	0	n	12800000	363439	9.3.04	29	1110186	
Taking Lives	Crime	R	USA / Canada 	3	0	0	n		11458465	3.19.04	2705	32682342	723057
Tarnation	Documentary		USA	4	0	0	n	218	12740	10.8.04	1	590873	
Taxi	Action	PG-13	USA / France	1	0	0	n		12029832	10.8.04	3001	36609966	1203062
Team America: World Police	Action	R	USA	1	0	0	n	30000000	12120358	10.15.04	2539	32774834	4688765
The Agronomist	Documentary	PG-13	USA	3.5	0	0	n		30855	4.23.04	7	226189	
The Alamo	Drama 	PG-13	USA	3.5	0	0	n	95000000	9124701	4.9.04	2609	22406362	
The Assassination of Richard Nixon	Drama	R	USA / Mexico	3.5	0	0	n		37547	12.31.04	5	697759	332162
The Aviator	Biography	PG-13	USA / Japan / Germany	4	5	1	n	116000000	858021	12.17.04	40	102593534	7885636
The Battle of Algiers(1965)	Drama		Algeria / Italy	4	0	0	n		64870	1.9.04	6	815345	
