Movie	Budget	Best actors	Top dollar actors	Genre	MPAA rating	Country	Sequel	Summer release	Holiday release	Christmas release	First weekend	Ebert review	Opening screens	Month released (1998)	Total domestic gross	Oscar nominations	Oscars	Nominations (in/out of release)	Log budget	Log 1st weekend	Log domestic	First weekend per screen	No budget	Ebert missing	Log opening screens	Log $ per screen	Few screens	Action	Childrens	Comedy	Documentary	Drama	Horror	SF	Thriller	G	PG	PG-13	R	NC-17	U	UK gross	Logged UK gross
Festen (The Celebration)		0.000000000e+000	0.000000000e+000	Drama	R	Non-English	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.762100000e-002	3.000000000e+000	2.000000000e+000	October	1.647000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.558760602e+000	2.166935992e-001	1.381050000e-002	1.000000000e+000	0.000000000e+000	3.010299957e-001	-1.859790598e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Firelight		0.000000000e+000	0.000000000e+000	Drama	R	Non-English	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	2.367750000e-001		1.000000000e+001	September	7.844190000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-6.256641547e-001	-1.054518955e-001	2.367750000e-002	1.000000000e+000	1.000000000e+000	1.000000000e+000	-1.625664155e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Firestorm		0.000000000e+000	0.000000000e+000	Action	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.849308000e+000		2.037000000e+003	January	8.041000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		5.853826623e-001	9.053100621e-001	1.889694649e-003	1.000000000e+000	1.000000000e+000	3.308991029e+000	-2.723608367e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
First Love, Last Rites		0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.087600000e-002		3.000000000e+000	August	4.054200000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.963530801e+000	-1.392094831e+000	3.625333333e-003	1.000000000e+000	1.000000000e+000	4.771212547e-001	-2.440652056e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Full Tilt Boogie		0.000000000e+000	0.000000000e+000	Documentary	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	5.659000000e-003		2.000000000e+000	August	5.659000000e-003	0.000000000e+000	0.000000000e+000	0.000000000e+000		-2.247260306e+000	-2.247260306e+000	2.829500000e-003	1.000000000e+000	1.000000000e+000	3.010299957e-001	-2.548290302e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Gadjo dilo (The Crazy Stranger)		0.000000000e+000	0.000000000e+000	Drama	U	Non-English	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.213600000e-002		1.000000000e+000	August	6.731530000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.915924432e+000	-1.718862144e-001	1.213600000e-002	1.000000000e+000	1.000000000e+000	0.000000000e+000	-1.915924432e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
General, The		0.000000000e+000	0.000000000e+000	Drama	R	English	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	2.677100000e-002	3.500000000e+000	2.000000000e+000	December	1.211000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.572335406e+000	8.314414314e-002	1.338550000e-002	1.000000000e+000	0.000000000e+000	3.010299957e-001	-1.873365402e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Gingerbread Man, The	2.500000000e+001	1.000000000e+000	0.000000000e+000	Thriller	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.182780000e-001	3.000000000e+000	8.000000000e+000	January	1.534000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.397940009e+000	-9.270960277e-001	1.858253596e-001	1.478475000e-002	0.000000000e+000	0.000000000e+000	9.030899870e-001	-1.830186015e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
God Said "Ha!"		0.000000000e+000	0.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.202200000e-002	3.500000000e+000	2.000000000e+000	February	5.232400000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.920023276e+000	-1.281299063e+000	6.011000000e-003	1.000000000e+000	0.000000000e+000	3.010299957e-001	-2.221053272e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Gods and Monsters	3.500000000e+000	0.000000000e+000	0.000000000e+000	Drama	U	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.550800000e-002	3.000000000e+000	6.000000000e+000	November	6.390000000e+000	2.000000000e+000	0.000000000e+000	2.000000000e+000	5.440680444e-001	-1.122007033e+000	8.055008582e-001	1.258466667e-002	0.000000000e+000	0.000000000e+000	7.781512504e-001	-1.900158283e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Godzilla	1.250000000e+002	0.000000000e+000	0.000000000e+000	Action	PG-13	USA	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	5.572695100e+001	1.500000000e+000	3.310000000e+003	May	1.360230000e+002	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.096910013e+000	1.746065282e+000	2.133612349e+000	1.683593686e-002	0.000000000e+000	0.000000000e+000	3.519827994e+000	-1.773762712e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.592000000e+001	1.201943063e+000
Good Will Hunting	1.000000000e+001	1.000000000e+000	1.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.026147100e+001	3.000000000e+000	1.787000000e+003	January	1.383390000e+002	5.000000000e+000	1.000000000e+000	5.000000000e+000	1.000000000e+000	1.011209622e+000	2.140944632e+000	5.742289312e-003	0.000000000e+000	0.000000000e+000	3.252124553e+000	-2.240914930e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	7.643000000e+000	8.832638596e-001
Governess, The		0.000000000e+000	0.000000000e+000	Drama	R	English	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	5.779900000e-002	3.000000000e+000	6.000000000e+000	August	3.719000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.238079675e+000	5.704261784e-001	9.633166667e-003	1.000000000e+000	0.000000000e+000	7.781512504e-001	-2.016230926e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Great Expectations		1.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	9.593290000e+000	3.000000000e+000	1.867000000e+003	February	2.633300000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000		9.819675732e-001	1.420500339e+000	5.138344938e-003	1.000000000e+000	0.000000000e+000	3.271144318e+000	-2.289176745e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.816000000e+000	2.591158442e-001
Half Baked		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.772540000e+000		1.701000000e+003	January	1.727800000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000		8.905629657e-001	1.237493470e+000	4.569394474e-003	1.000000000e+000	1.000000000e+000	3.230704314e+000	-2.340141348e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hallelujah! Ron Athey: A Story of Deliverance		0.000000000e+000	0.000000000e+000	Documentary	U	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.190000000e-004		1.000000000e+000	December	7.190000000e-004	0.000000000e+000	0.000000000e+000	0.000000000e+000		-3.143271110e+000	-3.143271110e+000	7.190000000e-004	1.000000000e+000	1.000000000e+000	0.000000000e+000	-3.143271110e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Halloween H20	1.700000000e+001	0.000000000e+000	0.000000000e+000	Horror	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.618772400e+001	2.000000000e+000	2.607000000e+003	August	5.500400000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.230448921e+000	1.209185791e+000	1.740394273e+000	6.209330265e-003	0.000000000e+000	0.000000000e+000	3.416141031e+000	-2.206955240e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	3.059000000e+000	4.855794770e-001
Hamam (Steam: The Turkish Bath)		0.000000000e+000	0.000000000e+000	Drama	U	Non-English	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.308400000e-002		2.000000000e+000	November	4.809490000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.480381988e+000	-3.179009739e-001	1.654200000e-002	1.000000000e+000	1.000000000e+000	3.010299957e-001	-1.781411984e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Hana-bi (Fireworks)		0.000000000e+000	0.000000000e+000	Drama	U	Non-English	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.950800000e-002	3.000000000e+000	9.000000000e+000	March	2.339860000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.225424646e+000	-6.308101268e-001	6.612000000e-003	1.000000000e+000	0.000000000e+000	9.542425094e-001	-2.179667155e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Happiness	3.000000000e+000	0.000000000e+000	0.000000000e+000	Comedy	U	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.023000000e-002	4.000000000e+000	3.000000000e+000	October	2.746000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	4.771212547e-001	-1.519561853e+000	4.387005329e-001	1.007666667e-002	0.000000000e+000	0.000000000e+000	4.771212547e-001	-1.996683108e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Hard Core Logo		0.000000000e+000	0.000000000e+000	Comedy	R	English	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.864000000e-003		2.000000000e+000	November	1.454000000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-2.412962882e+000	-1.837435593e+000	1.932000000e-003	1.000000000e+000	1.000000000e+000	3.010299957e-001	-2.713992878e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hard Rain	7.000000000e+001	1.000000000e+000	0.000000000e+000	Action	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	8.009024000e+000	1.000000000e+000	2.107000000e+003	January	1.981900000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.845098040e+000	9.035795951e-001	1.297081738e+000	3.801150451e-003	0.000000000e+000	0.000000000e+000	3.323664536e+000	-2.420084941e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hav Plenty	6.500000000e-001	0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.102036000e+000		4.130000000e+002	June	2.301000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	-1.870866434e-001	4.219578176e-002	3.619166187e-001	2.668368039e-003	0.000000000e+000	1.000000000e+000	2.615950052e+000	-2.573754270e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
He Got Game		1.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.610663000e+000	3.500000000e+000	1.319000000e+003	May	2.155400000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000		8.814224918e-001	1.333527879e+000	5.770025019e-003	1.000000000e+000	0.000000000e+000	3.120244796e+000	-2.238822304e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Henry Fool		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	4.093900000e-002	2.500000000e+000	2.000000000e+000	June	1.334000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.387862770e+000	1.251558296e-001	2.046950000e-002	1.000000000e+000	0.000000000e+000	3.010299957e-001	-1.688892766e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
High Art		0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	4.749900000e-002	3.500000000e+000	4.000000000e+000	June	1.929000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.323315534e+000	2.853322276e-001	1.187475000e-002	1.000000000e+000	0.000000000e+000	6.020599913e-001	-1.925375525e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hilary and Jackie		0.000000000e+000	0.000000000e+000	Drama	R	English	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	9.295600000e-002	3.500000000e+000	6.000000000e+000	December	4.874000000e+000	2.000000000e+000	0.000000000e+000	2.000000000e+000		-1.031722573e+000	6.878855248e-001	1.549266667e-002	1.000000000e+000	0.000000000e+000	7.781512504e-001	-1.809873823e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hi-Life		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.773000000e-003		1.000000000e+000	December	7.957000000e-003	0.000000000e+000	0.000000000e+000	0.000000000e+000		-2.423313195e+000	-2.099250642e+000	3.773000000e-003	1.000000000e+000	1.000000000e+000	0.000000000e+000	-2.423313195e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hi-Lo Country, The		0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	2.372500000e-002	2.000000000e+000	3.000000000e+000	December	1.638100000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.624793779e+000	-7.856595897e-001	7.908333333e-003	1.000000000e+000	0.000000000e+000	4.771212547e-001	-2.101915034e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hit Me		0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.348000000e-003		1.000000000e+000	October	3.348000000e-003	0.000000000e+000	0.000000000e+000	0.000000000e+000		-2.475214551e+000	-2.475214551e+000	3.348000000e-003	1.000000000e+000	1.000000000e+000	0.000000000e+000	-2.475214551e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Holy Man	6.000000000e+001	0.000000000e+000	1.000000000e+000	Comedy	PG	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.106919000e+000	2.000000000e+000	2.013000000e+003	October	1.206500000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.778151250e+000	7.081589696e-001	1.081527326e+000	2.536969200e-003	0.000000000e+000	0.000000000e+000	3.303843775e+000	-2.595684805e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Home Fries	1.500000000e+001	0.000000000e+000	1.000000000e+000	Comedy	PG-13	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.784023000e+000	3.000000000e+000	1.925000000e+003	November	1.044300000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.176091259e+000	5.779537675e-001	1.018825278e+000	1.965726234e-003	0.000000000e+000	0.000000000e+000	3.284430734e+000	-2.706476966e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Homegrown		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.791000000e-002		3.500000000e+001	April	2.155530000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.108406796e+000	-6.664459284e-001	2.226000000e-003	1.000000000e+000	1.000000000e+000	1.544068044e+000	-2.652474840e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hope Floats	3.000000000e+001	1.000000000e+000	1.000000000e+000	Drama	PG-13	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.421046400e+001	2.000000000e+000	2.367000000e+003	May	6.003300000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.477121255e+000	1.152608259e+000	1.778390047e+000	6.003575834e-003	0.000000000e+000	0.000000000e+000	3.374198258e+000	-2.221589999e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	6.126060000e-001	-2.128187539e-001
Horse Whisperer, The	6.000000000e+001	0.000000000e+000	0.000000000e+000	Drama	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.368548800e+001	3.000000000e+000	2.039000000e+003	May	7.537000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.778151250e+000	1.136260288e+000	1.877198515e+000	6.711862678e-003	0.000000000e+000	0.000000000e+000	3.309417226e+000	-2.173156938e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.448000000e+000	7.362370989e-001
How Stella Got Her Groove Back	2.000000000e+001	1.000000000e+000	2.000000000e+000	Drama	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.131891900e+001	2.500000000e+000	1.395000000e+003	August	3.767200000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.301029996e+000	1.053804952e+000	1.576018677e+000	8.113920430e-003	0.000000000e+000	0.000000000e+000	3.144574208e+000	-2.090769256e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hurlyburly		2.000000000e+000	1.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000	1.648260000e-001	3.000000000e+000	1.600000000e+001	December	1.796000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		-7.829742807e-001	2.543063323e-001	1.030162500e-002	1.000000000e+000	0.000000000e+000	1.204119983e+000	-1.987094263e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hurricane Streets	5.000000000e-001	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.315000000e-001		9.300000000e+001	February	3.340410000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000	-3.010299957e-001	-6.354490046e-001	-4.762002249e-001	2.489247312e-003	0.000000000e+000	1.000000000e+000	1.968482949e+000	-2.603931953e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Hush		1.000000000e+000	0.000000000e+000	Thriller	PG-13	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	5.742431000e+000	2.000000000e+000	1.966000000e+003	March	1.351300000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000		7.590957855e-001	1.130751777e+000	2.920870295e-003	1.000000000e+000	0.000000000e+000	3.293583513e+000	-2.534487728e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
