Network,Full type,Show,HH Rating,Type
FOX ,Evening Animation,ALLEN GREGORY,2.48,Comedy
NBC ,Comedy,FREE AGENTS,2.32,Comedy
NBC ,Comedy,PARKS AND RECREATION,2.31,Comedy
NBC ,Drama,AWAKE,2.25,Drama
NBC ,Comedy,30 ROCK,2.23,Comedy
FOX ,Reality/Participatio,KITCHEN NIGHTMARES,2.22,Reality/Participatio
NBC ,Comedy,COMMUNITY,2.18,Comedy
FOX ,Drama,COPS,2.17,Drama
FOX ,Evening Animation,BOB'S BURGERS,2.17,Comedy
NBC ,Drama,CHUCK,2.11,Drama
FOX ,Evening Animation,CLEVELAND,2.08,Comedy
NBC ,Drama,FIRM,2.05,Drama
NBC ,Comedy,BEST FRIENDS FOREVER,1.94,Comedy
FOX ,Drama,FRINGE,1.91,Drama
FOX ,Comedy,BREAKING IN,1.9,Comedy
CW  ,Drama,VAMPIRE DIARIES,1.8,Drama
NBC ,Comedy,BENT 9P,1.63,Comedy
NBC ,Comedy,BENT 930,1.45,Comedy
CBS ,Comedy,COMEDYTIME SATURDAY 2,1.27,Comedy
CW  ,Reality/Participatio,AMERICA'S TOP MODEL-11,1.25,Reality/Participatio
CW  ,Drama,SECRET CIRCLE,1.18,Drama
FOX ,Reality/Participatio,Q'VIVA,1.12,Reality/Participatio
CW  ,Drama,HART OF DIXIE,1.08,Drama
CW  ,Drama,SUPERNATURAL,1.06,Drama
CW  ,Drama,NIKITA,1.04,Drama
CW  ,Drama,ONE TREE HILL,1,Drama
CBS ,Comedy,COMEDYTIME SATURDAY 1,0.98,Comedy
CW  ,Drama,RINGER,0.96,Drama
CW  ,Drama,90210,0.89,Drama
CW  ,Drama,GOSSIP GIRL-MON,0.84,Drama
CW  ,Reality/Participatio,H8R,0.81,Reality/Participatio
CW  ,Reality/Participatio,AMERICA'S TOP MODEL-BRIT,0.79,Reality/Participatio
NBC ,Reality/Participatio,ESCAPE ROUTES,0.75,Reality/Participatio
CW  ,Reality/Participatio,REMODELED,0.48,Reality/Participatio
CW  ,Drama,LA COMPLEX,0.39,Drama
