Program	Network	Rating rank	HH US AA%	HH US Shr	18-49 AA%	18-49 Shr	Type	Drama	Sports	Comedy	NBC	ABC	CBS	FOX	UPN	FOXDrama	FOXSports	FOXComedy	NBCDrama	NBCSports	NBCComedy	ABCDrama	ABCSports	ABCComedy	CBSDrama	CBSSports	CBSComedy	UPNDrama	UPNSports	UPNComedy	Log HH share
EVERYBODY LOVES RAYMOND	CBS	1.100000000e+001	1.000000000e+001	1.500000000e+001	5.000000000e+000	1.300000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.176091259e+000
NFL MONDAY SHOWCASE	ABC	1.200000000e+001	9.800000000e+000	1.600000000e+001	5.500000000e+000	1.700000000e+001	Sports	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.204119983e+000
CBS TUESDAY MOVIE	CBS	1.300000000e+001	9.600000000e+000	1.600000000e+001	3.900000000e+000	1.100000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.204119983e+000
HOME IMPROVEMENT	ABC	1.400000000e+001	9.600000000e+000	1.700000000e+001	5.900000000e+000	1.900000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.230448921e+000
LAW AND ORDER	NBC	1.500000000e+001	9.400000000e+000	1.600000000e+001	5.100000000e+000	1.500000000e+001	Drama	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.204119983e+000
DATELINE NBC-TUE	NBC	1.600000000e+001	9.300000000e+000	1.600000000e+001	5.300000000e+000	1.500000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.204119983e+000
20/20-FRI	ABC	1.700000000e+001	9.200000000e+000	1.700000000e+001	4.300000000e+000	1.400000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.230448921e+000
DATELINE NBC-MON	NBC	1.800000000e+001	9.200000000e+000	1.500000000e+001	4.900000000e+000	1.300000000e+001	News	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.176091259e+000
FOX NFL SUNDAY-PST GN-NAT	FOX	1.900000000e+001	9.200000000e+000	1.700000000e+001	5.800000000e+000	1.800000000e+001	Sports	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.230448921e+000
BECKER	CBS	2.000000000e+001	9.100000000e+000	1.400000000e+001	4.400000000e+000	1.100000000e+001	Comedy	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.146128036e+000
