Name	Food	Decor	Service	Price
107 West	1.600000000e+001	1.300000000e+001	1.600000000e+001	2.600000000e+001
2nd Street cafe	1.400000000e+001	1.300000000e+001	1.500000000e+001	2.100000000e+001
44 & Hell's kitchen	2.200000000e+001	1.900000000e+001	1.900000000e+001	4.200000000e+001
55 wall	2.100000000e+001	2.200000000e+001	2.100000000e+001	5.400000000e+001
55 wall street	2.100000000e+001	2.200000000e+001	2.100000000e+001	5.400000000e+001
92	1.500000000e+001	1.500000000e+001	1.500000000e+001	4.300000000e+001
Angelica kitchen	2.000000000e+001	1.400000000e+001	1.500000000e+001	2.200000000e+001
Angelo's	2.100000000e+001	1.100000000e+001	1.400000000e+001	2.200000000e+001
Avenue	1.800000000e+001	1.400000000e+001	1.400000000e+001	3.600000000e+001
Avra estiatorio	2.400000000e+001	2.100000000e+001	2.000000000e+001	5.000000000e+001
AZ	2.300000000e+001	2.500000000e+001	2.200000000e+001	6.000000000e+001
babbo	2.700000000e+001	2.300000000e+001	2.400000000e+001	6.600000000e+001
Baldoria	1.900000000e+001	1.600000000e+001	1.800000000e+001	5.200000000e+001
Bali Nusa Indah	1.900000000e+001	1.000000000e+001	1.700000000e+001	2.500000000e+001
bambou	2.100000000e+001	2.400000000e+001	2.000000000e+001	4.500000000e+001
banjara	2.300000000e+001	1.600000000e+001	2.000000000e+001	2.800000000e+001
Bar 89	1.400000000e+001	2.200000000e+001	1.400000000e+001	3.000000000e+001
Bar Pitti	2.100000000e+001	1.400000000e+001	1.600000000e+001	3.300000000e+001
Barbetta	2.000000000e+001	2.300000000e+001	2.000000000e+001	5.500000000e+001
Barkling dog	1.500000000e+001	1.200000000e+001	1.400000000e+001	2.100000000e+001
Bay Leaf	2.100000000e+001	1.800000000e+001	1.800000000e+001	3.600000000e+001
bayards	2.300000000e+001	2.400000000e+001	2.300000000e+001	6.300000000e+001
Bella Blu	1.800000000e+001	1.700000000e+001	1.600000000e+001	4.100000000e+001
Bello	1.900000000e+001	1.500000000e+001	2.000000000e+001	4.100000000e+001
Ben Benson	2.300000000e+001	1.700000000e+001	2.000000000e+001	5.900000000e+001
big wong	2.200000000e+001	3.000000000e+000	1.100000000e+001	1.200000000e+001
bindex dinner	1.500000000e+001	1.100000000e+001	1.300000000e+001	1.700000000e+001
Blue evolution	1.600000000e+001	2.000000000e+001	1.500000000e+001	2.800000000e+001
Bo-ky	1.700000000e+001	4.000000000e+000	8.000000000e+000	1.200000000e+001
Bolo	2.200000000e+001	2.000000000e+001	2.000000000e+001	5.200000000e+001
Bond Street	2.500000000e+001	2.200000000e+001	1.800000000e+001	5.400000000e+001
Bondi Restaurant	2.000000000e+001	1.600000000e+001	1.900000000e+001	3.900000000e+001
Borgo antico	1.800000000e+001	1.700000000e+001	1.800000000e+001	3.900000000e+001
Bottino	1.900000000e+001	1.900000000e+001	1.700000000e+001	4.300000000e+001
Bouchon	2.200000000e+001	1.700000000e+001	2.000000000e+001	3.700000000e+001
Bravo Gianni	2.200000000e+001	1.400000000e+001	2.100000000e+001	6.300000000e+001
