Name	Food	Decor	Service	Price
bridge cafe	2.100000000e+001	1.600000000e+001	1.900000000e+001	4.000000000e+001
Brooklin Diner USA	1.500000000e+001	1.300000000e+001	1.400000000e+001	2.900000000e+001
Brother Jimmy's BBQ	1.500000000e+001	1.000000000e+001	1.300000000e+001	2.200000000e+001
Bryant Park Grill	1.600000000e+001	2.100000000e+001	1.600000000e+001	4.100000000e+001
Bubby's	1.800000000e+001	1.400000000e+001	1.400000000e+001	2.700000000e+001
Burger Heaven	1.500000000e+001	8.000000000e+000	1.300000000e+001	1.600000000e+001
cabana	2.200000000e+001	1.800000000e+001	1.800000000e+001	3.200000000e+001
Cafe greco	1.600000000e+001	1.400000000e+001	1.700000000e+001	3.100000000e+001
Cafè Pierre	2.300000000e+001	2.700000000e+001	2.500000000e+001	6.100000000e+001
cafeteria	1.600000000e+001	1.700000000e+001	1.300000000e+001	3.000000000e+001
canton	2.300000000e+001	1.000000000e+001	2.000000000e+001	4.200000000e+001
Charely O's	1.000000000e+001	1.000000000e+001	1.100000000e+001	3.100000000e+001
Chelsea Grill 16	1.600000000e+001	1.300000000e+001	1.500000000e+001	2.400000000e+001
Chez Oscar	1.600000000e+001	1.600000000e+001	1.500000000e+001	3.100000000e+001
China Fun	1.500000000e+001	8.000000000e+000	1.200000000e+001	2.000000000e+001
China Grill	2.200000000e+001	2.100000000e+001	1.800000000e+001	5.000000000e+001
Ciao Europa	1.700000000e+001	1.900000000e+001	1.800000000e+001	4.400000000e+001
City crab and seafood	1.600000000e+001	1.400000000e+001	1.500000000e+001	3.900000000e+001
Col Legno	2.100000000e+001	1.300000000e+001	1.800000000e+001	3.400000000e+001
Confort Dinner, the	1.500000000e+001	1.100000000e+001	1.300000000e+001	1.900000000e+001
Cornelia St. cafe	1.700000000e+001	1.500000000e+001	1.600000000e+001	3.100000000e+001
da Nico	2.100000000e+001	1.700000000e+001	1.800000000e+001	3.400000000e+001
Dallas bbq	1.400000000e+001	8.000000000e+000	1.200000000e+001	1.900000000e+001
delmonico's	1.900000000e+001	2.000000000e+001	2.000000000e+001	5.300000000e+001
Demarchelier	1.600000000e+001	1.600000000e+001	1.600000000e+001	4.300000000e+001
dim sum go go	1.900000000e+001	1.300000000e+001	1.300000000e+001	2.200000000e+001
Dishes	2.000000000e+001	1.000000000e+001	1.300000000e+001	1.300000000e+001
district	2.100000000e+001	2.100000000e+001	2.000000000e+001	5.100000000e+001
do jo	1.400000000e+001	7.000000000e+000	1.100000000e+001	1.400000000e+001
dok suni's	2.100000000e+001	1.500000000e+001	1.500000000e+001	2.700000000e+001
Don Peppe	2.200000000e+001	8.000000000e+000	1.800000000e+001	3.900000000e+001
dt.ut	1.700000000e+001	1.900000000e+001	1.400000000e+001	1.300000000e+001
Dukes	1.600000000e+001	1.200000000e+001	1.400000000e+001	2.300000000e+001
Dylan Prime	2.300000000e+001	2.400000000e+001	2.200000000e+001	5.500000000e+001
E.A.T	1.900000000e+001	1.000000000e+001	1.200000000e+001	3.600000000e+001
east of eighth	1.600000000e+001	1.600000000e+001	1.600000000e+001	2.800000000e+001
East Post	1.900000000e+001	1.800000000e+001	1.800000000e+001	2.800000000e+001
Eatery	1.700000000e+001	1.700000000e+001	1.500000000e+001	3.100000000e+001
Ecco	2.100000000e+001	1.700000000e+001	2.000000000e+001	4.600000000e+001
Ecco la	1.700000000e+001	1.300000000e+001	1.500000000e+001	2.800000000e+001
Edgards	1.900000000e+001	1.700000000e+001	1.400000000e+001	1.900000000e+001
Edison cafè	1.400000000e+001	8.000000000e+000	1.100000000e+001	1.800000000e+001
El faro	2.100000000e+001	1.000000000e+001	1.600000000e+001	3.500000000e+001
El malecon	1.900000000e+001	6.000000000e+000	1.200000000e+001	1.500000000e+001
El Ponte	2.100000000e+001	1.000000000e+001	1.900000000e+001	3.400000000e+001
El Quijote	1.900000000e+001	1.300000000e+001	1.600000000e+001	3.600000000e+001
El Teddy's	1.500000000e+001	1.800000000e+001	1.400000000e+001	3.600000000e+001
Elaine's	1.100000000e+001	1.200000000e+001	1.300000000e+001	4.600000000e+001
Elio's	2.300000000e+001	1.700000000e+001	1.900000000e+001	5.400000000e+001
Ellen's Stardust Diner	1.100000000e+001	1.400000000e+001	1.400000000e+001	2.200000000e+001
Empire diner	1.500000000e+001	1.500000000e+001	1.200000000e+001	2.200000000e+001
empire Szechuan	1.500000000e+001	8.000000000e+000	1.300000000e+001	2.100000000e+001
Erminia's	2.500000000e+001	2.500000000e+001	2.400000000e+001	5.700000000e+001
Esca	2.400000000e+001	1.900000000e+001	2.000000000e+001	5.800000000e+001
Esperanto	2.100000000e+001	1.700000000e+001	1.700000000e+001	2.800000000e+001
Ess a bajel	2.300000000e+001	5.000000000e+000	1.300000000e+001	9.000000000e+000
Etats Units	2.400000000e+001	1.500000000e+001	2.100000000e+001	5.400000000e+001
Fanelli's cafe	1.400000000e+001	1.400000000e+001	1.400000000e+001	2.200000000e+001
Felix	1.600000000e+001	1.700000000e+001	1.300000000e+001	3.800000000e+001
Ferrara	2.100000000e+001	1.300000000e+001	1.300000000e+001	1.700000000e+001
Ferrara	2.100000000e+001	1.300000000e+001	1.300000000e+001	1.700000000e+001
Ferrier bistro	1.800000000e+001	1.500000000e+001	1.400000000e+001	3.900000000e+001
First	2.000000000e+001	1.900000000e+001	1.800000000e+001	4.000000000e+001
Fish	2.000000000e+001	1.400000000e+001	1.700000000e+001	3.900000000e+001
five points	2.100000000e+001	2.100000000e+001	2.000000000e+001	4.200000000e+001
Florent	1.800000000e+001	1.400000000e+001	1.400000000e+001	2.800000000e+001
Four Season	2.600000000e+001	2.700000000e+001	2.600000000e+001	7.800000000e+001
Frank	2.300000000e+001	1.400000000e+001	1.500000000e+001	2.800000000e+001
Fred's	1.700000000e+001	1.600000000e+001	1.700000000e+001	2.800000000e+001
French Roast	1.400000000e+001	1.300000000e+001	1.100000000e+001	2.400000000e+001
Fresco By scotto	2.200000000e+001	1.900000000e+001	2.100000000e+001	5.200000000e+001
Frutti di Mare	1.600000000e+001	1.200000000e+001	1.600000000e+001	2.400000000e+001
Garage restaurant	1.800000000e+001	1.900000000e+001	1.900000000e+001	3.200000000e+001
Gascogne	2.100000000e+001	2.000000000e+001	2.000000000e+001	4.700000000e+001
Gennaro	2.400000000e+001	1.200000000e+001	1.600000000e+001	3.400000000e+001
ghenet	1.900000000e+001	1.300000000e+001	1.700000000e+001	2.400000000e+001
Giambelli	2.000000000e+001	1.700000000e+001	2.000000000e+001	5.400000000e+001
Gigino Trattoria	2.100000000e+001	1.800000000e+001	1.900000000e+001	3.800000000e+001
Gino	2.100000000e+001	1.300000000e+001	1.900000000e+001	4.000000000e+001
Girasole	1.900000000e+001	1.500000000e+001	2.000000000e+001	5.600000000e+001
Global 33	1.800000000e+001	1.800000000e+001	1.500000000e+001	3.300000000e+001
gnocco caffe	2.100000000e+001	1.700000000e+001	1.800000000e+001	3.100000000e+001
Go Sushi	1.400000000e+001	7.000000000e+000	1.100000000e+001	1.600000000e+001
golden unicorn	2.000000000e+001	1.000000000e+001	1.100000000e+001	2.300000000e+001
goodi's	1.900000000e+001	7.000000000e+000	1.300000000e+001	1.700000000e+001
Googie's	1.500000000e+001	1.000000000e+001	1.200000000e+001	2.100000000e+001
Gotham	2.700000000e+001	2.500000000e+001	2.500000000e+001	6.300000000e+001
Grand Sichuan	2.300000000e+001	8.000000000e+000	1.400000000e+001	2.300000000e+001
Great NY noodle	2.100000000e+001	4.000000000e+000	1.100000000e+001	1.500000000e+001
Haikara Grill	2.100000000e+001	1.700000000e+001	1.800000000e+001	4.400000000e+001
Hard Rock Cafe	1.200000000e+001	1.900000000e+001	1.200000000e+001	2.800000000e+001
Hog Pit bbq	1.600000000e+001	1.000000000e+001	1.300000000e+001	2.200000000e+001
Houlihan's	1.000000000e+001	1.000000000e+001	1.100000000e+001	2.500000000e+001
Hourglass Tavern	1.400000000e+001	1.300000000e+001	1.600000000e+001	2.700000000e+001
Ike	1.600000000e+001	1.900000000e+001	1.700000000e+001	2.800000000e+001
il cortile	2.100000000e+001	1.900000000e+001	1.800000000e+001	4.700000000e+001
il giglio	2.500000000e+001	1.900000000e+001	2.300000000e+001	6.000000000e+001
Il mulino	2.700000000e+001	1.800000000e+001	2.400000000e+001	7.400000000e+001
Il palazzo	2.400000000e+001	1.700000000e+001	1.900000000e+001	4.000000000e+001
Industry	1.400000000e+001	2.300000000e+001	1.400000000e+001	4.500000000e+001
Jackson Hole	1.600000000e+001	9.000000000e+000	1.300000000e+001	1.900000000e+001
Japonica	2.200000000e+001	1.300000000e+001	1.700000000e+001	4.000000000e+001
Jerry's	1.600000000e+001	1.200000000e+001	1.400000000e+001	2.900000000e+001
jewel bako	2.600000000e+001	2.500000000e+001	2.300000000e+001	6.100000000e+001
jo jo	2.500000000e+001	2.200000000e+001	2.200000000e+001	6.600000000e+001
Justin's	1.600000000e+001	1.900000000e+001	1.400000000e+001	3.600000000e+001
Kam chueh	2.200000000e+001	1.000000000e+001	1.500000000e+001	2.400000000e+001
Kiev	1.400000000e+001	7.000000000e+000	1.200000000e+001	1.700000000e+001
Kitchen Club	2.200000000e+001	1.900000000e+001	1.900000000e+001	4.300000000e+001
La belle Epoque	1.400000000e+001	2.200000000e+001	1.400000000e+001	4.100000000e+001
La bonne Soupe	1.700000000e+001	1.200000000e+001	1.400000000e+001	2.600000000e+001
Landmark Tavern	1.400000000e+001	1.800000000e+001	1.600000000e+001	3.600000000e+001
Le singe vert	1.700000000e+001	1.600000000e+001	1.500000000e+001	3.500000000e+001
Lemon, the	1.300000000e+001	1.800000000e+001	1.300000000e+001	3.300000000e+001
L'Express	1.700000000e+001	1.400000000e+001	1.300000000e+001	2.900000000e+001
Lipstick cafe	1.600000000e+001	1.300000000e+001	1.400000000e+001	2.400000000e+001
Lola	1.800000000e+001	2.000000000e+001	1.700000000e+001	4.400000000e+001
Lombardi	2.500000000e+001	1.100000000e+001	1.500000000e+001	1.900000000e+001
L'orto ristorante elegante	2.700000000e+001	2.500000000e+001	2.600000000e+001	5.200000000e+001
Lundy Bros.	1.500000000e+001	1.600000000e+001	1.400000000e+001	3.900000000e+001
lusardi's	2.300000000e+001	1.900000000e+001	2.200000000e+001	5.400000000e+001
Luzia's	1.600000000e+001	1.300000000e+001	1.500000000e+001	3.200000000e+001
Magnolia Bakery	2.500000000e+001	1.000000000e+001	1.300000000e+001	8.000000000e+000
Mangia e bevi	1.500000000e+001	1.200000000e+001	1.500000000e+001	2.900000000e+001
Manhattan Chili co.	1.500000000e+001	1.200000000e+001	1.400000000e+001	2.200000000e+001
mark joseph	2.400000000e+001	1.900000000e+001	2.300000000e+001	6.100000000e+001
Martini's	1.600000000e+001	1.500000000e+001	1.500000000e+001	3.600000000e+001
Marumi	2.100000000e+001	1.200000000e+001	1.500000000e+001	2.800000000e+001
Mary Ann's	1.500000000e+001	1.200000000e+001	1.300000000e+001	2.400000000e+001
Master grill international	1.600000000e+001	1.300000000e+001	1.500000000e+001	3.300000000e+001
Max	2.300000000e+001	1.500000000e+001	1.700000000e+001	2.400000000e+001
Maya 2112	2.500000000e+001	2.100000000e+001	2.000000000e+001	4.700000000e+001
Meet	1.600000000e+001	2.100000000e+001	1.500000000e+001	4.500000000e+001
Merchants, ny	1.300000000e+001	1.600000000e+001	1.300000000e+001	3.100000000e+001
Merseille	2.200000000e+001	2.000000000e+001	1.900000000e+001	4.800000000e+001
Mesa Grill	2.300000000e+001	2.000000000e+001	2.000000000e+001	5.000000000e+001
Metisse	2.100000000e+001	1.600000000e+001	2.000000000e+001	3.900000000e+001
Metsovo	1.800000000e+001	1.800000000e+001	1.600000000e+001	4.000000000e+001
Mexican Radio	1.900000000e+001	1.500000000e+001	1.500000000e+001	2.800000000e+001
Mexicana Mama	2.500000000e+001	1.100000000e+001	1.600000000e+001	2.900000000e+001
Mezzaluna	1.700000000e+001	1.300000000e+001	1.500000000e+001	3.800000000e+001
Mezzogiorno	1.900000000e+001	1.700000000e+001	1.600000000e+001	4.000000000e+001
Mi Cocina	2.300000000e+001	1.800000000e+001	1.800000000e+001	4.100000000e+001
Micheal's	2.100000000e+001	2.000000000e+001	2.100000000e+001	5.800000000e+001
Mickey Mantle's	1.200000000e+001	1.700000000e+001	1.400000000e+001	3.300000000e+001
Milos Estiatorio	2.500000000e+001	2.300000000e+001	2.200000000e+001	6.600000000e+001
Mingala Burmese	1.900000000e+001	1.200000000e+001	1.700000000e+001	2.100000000e+001
Miss Saigon	1.800000000e+001	1.200000000e+001	1.600000000e+001	2.700000000e+001
Mitali	1.800000000e+001	1.300000000e+001	1.600000000e+001	2.500000000e+001
Molyvos	2.300000000e+001	2.000000000e+001	2.000000000e+001	4.900000000e+001
Monkey Bar	1.900000000e+001	2.100000000e+001	1.800000000e+001	5.400000000e+001
Monsoon	1.900000000e+001	1.400000000e+001	1.500000000e+001	2.700000000e+001
Montrachet	2.500000000e+001	1.900000000e+001	2.400000000e+001	6.700000000e+001
Mooza	1.600000000e+001	2.100000000e+001	1.500000000e+001	3.500000000e+001
Morton's of Chicago	2.200000000e+001	1.900000000e+001	2.200000000e+001	6.000000000e+001
Mr. Chow	2.300000000e+001	2.100000000e+001	1.900000000e+001	6.300000000e+001
Mughlai	1.900000000e+001	1.500000000e+001	1.600000000e+001	3.000000000e+001
Nanni	2.400000000e+001	1.300000000e+001	2.200000000e+001	5.200000000e+001
Naples 45	1.700000000e+001	1.400000000e+001	1.500000000e+001	3.000000000e+001
Neary's	1.500000000e+001	1.200000000e+001	1.900000000e+001	3.700000000e+001
Negril	1.900000000e+001	1.700000000e+001	1.500000000e+001	3.100000000e+001
Nellie's	2.200000000e+001	1.800000000e+001	2.000000000e+001	4.200000000e+001
Nello	1.800000000e+001	1.800000000e+001	1.500000000e+001	6.000000000e+001
new green bo	2.200000000e+001	4.000000000e+000	1.200000000e+001	1.600000000e+001
Nha trang	2.000000000e+001	5.000000000e+000	1.300000000e+001	1.700000000e+001
Nice restaurant	1.800000000e+001	1.000000000e+001	1.300000000e+001	2.400000000e+001
Nino's	2.300000000e+001	1.900000000e+001	2.300000000e+001	5.500000000e+001
Nino's positano	2.000000000e+001	1.700000000e+001	2.000000000e+001	4.500000000e+001
Nobu	2.800000000e+001	2.300000000e+001	2.400000000e+001	7.400000000e+001
Nocello	2.100000000e+001	1.700000000e+001	1.900000000e+001	3.900000000e+001
Noho star	1.600000000e+001	1.300000000e+001	1.300000000e+001	2.800000000e+001
Noodles on 28	1.800000000e+001	6.000000000e+000	1.300000000e+001	1.800000000e+001
Norma's	2.500000000e+001	2.000000000e+001	2.100000000e+001	3.300000000e+001
O.G.	2.200000000e+001	1.400000000e+001	1.800000000e+001	3.200000000e+001
Oak room	1.800000000e+001	2.400000000e+001	2.100000000e+001	6.100000000e+001
Oceana	2.700000000e+001	2.500000000e+001	2.600000000e+001	7.200000000e+001
Oceana	2.700000000e+001	2.500000000e+001	2.600000000e+001	7.200000000e+001
Old Homestead	2.200000000e+001	1.500000000e+001	2.000000000e+001	5.400000000e+001
Old Town Bar	1.500000000e+001	1.600000000e+001	1.400000000e+001	2.100000000e+001
Olives	2.200000000e+001	2.200000000e+001	2.000000000e+001	5.600000000e+001
Omen	2.300000000e+001	1.800000000e+001	2.000000000e+001	4.800000000e+001
Omonia cafe	1.900000000e+001	1.400000000e+001	1.400000000e+001	1.600000000e+001
Omonia cafè	1.900000000e+001	1.400000000e+001	1.400000000e+001	1.600000000e+001
Orso	2.200000000e+001	1.800000000e+001	1.900000000e+001	4.900000000e+001
Orso	2.200000000e+001	1.800000000e+001	1.900000000e+001	4.900000000e+001
Oscar	1.500000000e+001	1.500000000e+001	1.700000000e+001	3.700000000e+001
Oscar's	1.500000000e+001	1.500000000e+001	1.700000000e+001	3.700000000e+001
Osteria del circo	2.100000000e+001	2.300000000e+001	2.100000000e+001	5.500000000e+001
Otabe	2.300000000e+001	2.000000000e+001	2.100000000e+001	4.900000000e+001
Oyster bar	2.200000000e+001	1.600000000e+001	1.500000000e+001	4.300000000e+001
Park av. Cafè	2.500000000e+001	2.200000000e+001	2.300000000e+001	6.100000000e+001
Payard bistro	2.400000000e+001	2.100000000e+001	1.800000000e+001	4.900000000e+001
Pearl Oyster	2.600000000e+001	1.200000000e+001	1.800000000e+001	3.800000000e+001
peasant	2.100000000e+001	2.000000000e+001	1.800000000e+001	4.700000000e+001
Planet Sushy	1.700000000e+001	1.200000000e+001	1.600000000e+001	2.800000000e+001
Pump Energy food, the	1.900000000e+001	4.000000000e+000	1.400000000e+001	1.200000000e+001
Puttanesca	1.800000000e+001	1.500000000e+001	1.600000000e+001	3.200000000e+001
quartino	2.300000000e+001	2.000000000e+001	2.000000000e+001	3.200000000e+001
Rachel's American Bistro	1.900000000e+001	1.400000000e+001	1.800000000e+001	3.400000000e+001
Red	1.600000000e+001	1.400000000e+001	1.600000000e+001	3.200000000e+001
Ribollita	1.800000000e+001	1.400000000e+001	1.500000000e+001	3.700000000e+001
Roy's new york	2.400000000e+001	2.100000000e+001	2.200000000e+001	5.000000000e+001
Sel et Poivre	1.600000000e+001	1.600000000e+001	1.700000000e+001	4.100000000e+001
Serafina	1.800000000e+001	1.700000000e+001	1.500000000e+001	3.700000000e+001
Soho Steak	1.800000000e+001	1.300000000e+001	1.600000000e+001	3.500000000e+001
Sylvia's	1.500000000e+001	1.200000000e+001	1.600000000e+001	2.800000000e+001
T.G.I Friday	9.000000000e+000	9.000000000e+000	9.000000000e+000	2.500000000e+001
Taka	2.600000000e+001	1.300000000e+001	1.900000000e+001	4.500000000e+001
tasting room	2.600000000e+001	1.700000000e+001	2.500000000e+001	5.100000000e+001
thailand	2.300000000e+001	9.000000000e+000	1.400000000e+001	2.000000000e+001
the elephant	2.200000000e+001	1.700000000e+001	1.500000000e+001	3.400000000e+001
the tonic	2.200000000e+001	2.200000000e+001	2.100000000e+001	5.200000000e+001
torre di pisa	1.900000000e+001	2.300000000e+001	2.000000000e+001	5.000000000e+001
Tossed	1.700000000e+001	9.000000000e+000	1.300000000e+001	1.500000000e+001
triangolo	1.900000000e+001	1.400000000e+001	2.000000000e+001	3.300000000e+001
Tsampa	1.800000000e+001	1.800000000e+001	1.600000000e+001	2.400000000e+001
Tsampa	1.800000000e+001	1.800000000e+001	1.600000000e+001	2.400000000e+001
tse yang	2.200000000e+001	2.400000000e+001	2.300000000e+001	5.700000000e+001
Tupelo Grill	1.800000000e+001	1.700000000e+001	1.800000000e+001	4.200000000e+001
Turkish Kitchen	2.200000000e+001	1.900000000e+001	1.900000000e+001	3.800000000e+001
Turkuaz	1.900000000e+001	2.100000000e+001	1.800000000e+001	3.300000000e+001
Tuscan square	1.800000000e+001	1.900000000e+001	1.700000000e+001	4.300000000e+001
Tuscan steak	2.100000000e+001	2.400000000e+001	1.900000000e+001	5.400000000e+001
Two Boots	1.900000000e+001	1.000000000e+001	1.300000000e+001	1.300000000e+001
two two two	2.100000000e+001	2.100000000e+001	2.100000000e+001	6.100000000e+001
Ulrika's	2.100000000e+001	1.700000000e+001	2.100000000e+001	4.500000000e+001
Uncle Nick's	1.900000000e+001	1.100000000e+001	1.500000000e+001	2.900000000e+001
Uncle pho	1.700000000e+001	1.600000000e+001	1.600000000e+001	3.200000000e+001
Union Pacific	2.600000000e+001	2.600000000e+001	2.500000000e+001	7.200000000e+001
Utsav	2.100000000e+001	2.000000000e+001	1.800000000e+001	3.500000000e+001
Vatan	2.100000000e+001	2.200000000e+001	2.200000000e+001	3.100000000e+001
Vaya	2.300000000e+001	1.200000000e+001	1.200000000e+001	1.400000000e+001
Vegetarian Paradise	2.000000000e+001	9.000000000e+000	1.600000000e+001	1.900000000e+001
veniero's	2.300000000e+001	1.200000000e+001	1.200000000e+001	1.400000000e+001
Verbena	2.200000000e+001	2.100000000e+001	2.100000000e+001	5.700000000e+001
Veritas	2.700000000e+001	2.200000000e+001	2.600000000e+001	8.000000000e+001
Vermicelli	2.000000000e+001	1.700000000e+001	1.800000000e+001	3.100000000e+001
Via Oreto	2.000000000e+001	1.600000000e+001	1.900000000e+001	4.100000000e+001
Viand	1.600000000e+001	6.000000000e+000	1.600000000e+001	1.700000000e+001
Vietnam	2.300000000e+001	6.000000000e+000	1.400000000e+001	1.600000000e+001
View, the	1.700000000e+001	2.500000000e+001	1.900000000e+001	5.200000000e+001
Village	1.800000000e+001	1.900000000e+001	1.700000000e+001	4.100000000e+001
Vince and eddie	1.800000000e+001	1.600000000e+001	1.800000000e+001	4.300000000e+001
Vincent's	1.900000000e+001	1.300000000e+001	1.600000000e+001	3.300000000e+001
vinnie's pizza	2.000000000e+001	3.000000000e+000	1.300000000e+001	1.000000000e+001
Vivolo	1.800000000e+001	1.700000000e+001	1.800000000e+001	4.400000000e+001
Vong	2.400000000e+001	2.500000000e+001	2.200000000e+001	5.900000000e+001
Vynl	1.700000000e+001	1.600000000e+001	1.600000000e+001	2.200000000e+001
W. 79th st. Boat Basin cafe	1.100000000e+001	2.000000000e+001	1.100000000e+001	2.300000000e+001
walker's	1.600000000e+001	1.300000000e+001	1.600000000e+001	2.500000000e+001
wallsè	2.500000000e+001	1.900000000e+001	2.100000000e+001	5.800000000e+001
White horse tavern	1.200000000e+001	1.300000000e+001	1.200000000e+001	1.900000000e+001
White Horse Tavern	1.200000000e+001	1.300000000e+001	1.200000000e+001	1.900000000e+001
Willow	1.800000000e+001	1.900000000e+001	1.800000000e+001	4.700000000e+001
wolf's	1.500000000e+001	1.100000000e+001	1.400000000e+001	2.400000000e+001
wong kee	2.100000000e+001	4.000000000e+000	1.300000000e+001	1.600000000e+001
X.o	2.000000000e+001	1.000000000e+001	1.400000000e+001	1.600000000e+001
Xunta	1.900000000e+001	1.300000000e+001	1.300000000e+001	2.600000000e+001
York Grill	2.200000000e+001	2.100000000e+001	2.100000000e+001	4.100000000e+001
Zarela	2.100000000e+001	1.600000000e+001	1.700000000e+001	4.000000000e+001
Zen Palate	1.800000000e+001	1.600000000e+001	1.600000000e+001	2.600000000e+001
Zocalo	1.900000000e+001	1.500000000e+001	1.600000000e+001	3.400000000e+001
Zoe	2.100000000e+001	2.000000000e+001	1.900000000e+001	4.600000000e+001
Zuni	1.800000000e+001	1.300000000e+001	1.600000000e+001	3.300000000e+001
