Restaurant Name,Type,Location,Food,Decor,Service,Cost
1 or 8,Japanese ,Williamsburg,24,22,23,49
508,Italian ,Hudson Square,22,19,20,42
67Burger,Burger ,Fort Greene,21,17,19,19
Afghan Kebab & Grill,Afghani ,Jackson Heights,20,13,18,26
Allswell,American ,Williamsburg,23,18,20,40
Alma,undefined,Columbia Street Waterfront District,20,21,18,37
Antica Pesa,Italian ,Williamsburg,23,23,23,68
Arepas Cafe,Venezuelan ,Astoria,24,16,20,18
Arepas Grill,Venezuelan ,Astoria,24,16,20,18
Aurora,Italian ,Williamsburg,23,20,21,47
Awash Ethiopian Restaurant,Ethiopian ,Cobble Hill,22,14,18,26
Ayada,Thai ,Elmhurst,26,14,20,24
Bacchus,French ,Downtown Brooklyn,20,17,19,40
Bahari Estiatorio,Greek ,Astoria,24,18,21,34
Bamonte's,Italian ,Williamsburg,22,17,22,45
Bareburger,Burger ,Astoria,22,16,19,22
Barosa,Italian ,Rego Park,22,19,22,41
Battersby,American ,Boerum Hill,27,17,23,59
Beco,undefined,Williamsburg,23,19,20,39
Bella Via Restaurant,Italian ,Long Island City,22,18,20,32
Best Pizza,Pizza ,Williamsburg,24,15,19,15
Bocca Lupo,Italian ,Cobble Hill,23,20,21,36
Brick Cafe,Mediterranean ,Astoria,21,20,21,34
BrisketTown,Barbecue ,Williamsburg,25,16,20,26
Brucie,Italian ,Cobble Hill,25,20,20,35
Building On Bond,American ,Boerum Hill,20,24,20,25
Butcher Bar,Barbecue ,Astoria,24,22,22,25
Cafe Henri,French ,Long Island City,20,16,18,27
Cafe Luluc,French ,Cobble Hill,21,15,18,31
Cafe Mogador Williamsburg,Moroccan ,Williamsburg,23,17,19,30
Caffe e Vino,Italian ,Fort Greene,23,17,22,41
Calexico,Mexican ,Greenpoint,21,13,17,21
Calexico- Red Hook,Mexican ,Columbia Street Waterfront District,21,13,17,21
Caracas Arepa Bar,Venezuelan ,Williamsburg,24,15,18,21
Casa Enrique,Mexican ,Long Island City,24,15,23,29
Cavo,Greek ,Astoria,21,24,19,45
Chai Home Kitchen,Thai ,Williamsburg,22,18,19,25
Char No. 4,Southern American ,Cobble Hill,22,21,21,40
Chez Oskar,French ,Fort Greene,20,19,19,33
Christos Steak House,Steakhouse ,Astoria,25,20,24,62
Colonie,American ,Brooklyn Heights,25,24,23,51
Corner Bistro,Burger ,Long Island City,22,12,14,20
Diner,American ,Williamsburg,24,17,21,40
Do or Dine,Eclectic ,Bedford-Stuyvesant,25,22,24,32
Donovan's Pub,American ,Woodside,20,18,19,29
Dos Toros Taqueria,Mexican ,Williamsburg,21,12,18,14
DuMont Burger,American ,Williamsburg,23,18,20,30
egg,Southern American ,Williamsburg,24,14,17,23
Extra FANCY,Seafood ,Williamsburg,20,19,21,36
Ferdinando's Focacceria,Italian ,Columbia Street Waterfront District,26,16,21,28
Fette Sau,Barbecue ,Williamsburg,26,16,15,31
Five Leaves,American ,Greenpoint,26,22,19,31
Forcella,Pizza ,Williamsburg,22,16,18,28
Fornino,Pizza ,Greenpoint,24,17,20,27
Fornino,Pizza ,Williamsburg,24,17,20,27
Fushimi,Japanese ,Williamsburg,23,23,20,43
Giorgione,Italian ,Hudson Square,24,20,22,59
GRAN/ELECTRICA,Mexican ,DUMBO,22,23,22,38
Grimaldi's,undefined,DUMBO,23,13,16,23
Habana Outpost Brooklyn,Mexican ,Fort Greene,23,17,17,21
Hanco's Bubble Tea & Vietnamese Sandwich,Vietnamese ,Brooklyn Heights,20,9,15,12
henry's end,American ,Brooklyn Heights,25,17,23,48
Henry Public,American ,Cobble Hill,20,21,18,31
Hibino,Japanese ,Cobble Hill,25,18,22,38
Hibino LIC,Japanese ,Long Island City,25,18,22,38
Himalayan Yak,Nepalese ,Elmhurst,21,21,19,21
Il Bambino,undefined,Astoria,27,19,23,22
Jack the Horse Tavern,American ,Brooklyn Heights,23,20,21,45
Jackson Diner - Jackson Heights,Indian ,Jackson Heights,21,12,16,25
Jackson Hole,American ,East Elmhurst,19,12,16,23
Joya,Thai ,Cobble Hill,23,18,19,23
Juliana's Pizza,Pizza ,DUMBO,27,19,22,27
Junior's,American ,Downtown Brooklyn,19,14,17,27
Ki Sushi,Japanese ,Cobble Hill,25,19,21,39
Koi,Japanese ,Hudson Square,24,23,21,64
La Piazzetta,Pizza ,Williamsburg,23,21,22,41
La Sirene,French ,Hudson Square,24,16,22,52
La Superior,Mexican ,Williamsburg,25,14,16,22
La Vara,Spanish ,Cobble Hill,27,22,25,53
Le Pain Quotidien,Belgian ,Brooklyn Heights,20,16,16,23
Lemongrass Grill,Thai ,Cobble Hill,19,16,18,26
Locale,Italian ,Astoria,21,21,20,37
Locanda Vini & Olii,Italian ,Clinton Hill,26,25,25,54
Lomzynianka,Polish ,Greenpoint,22,12,17,19
Lucali,undefined,Carroll Gardens,27,19,19,27
Luke's Lobster,Seafood ,DUMBO,23,11,17,24
Lunetta,Italian ,Cobble Hill,21,16,20,39
Luz Restaurant,Latin American ,Fort Greene,23,19,21,37
M. Wells Dinette,Canadian ,Long Island City,27,18,21,40
Mable's Smokehouse & Banquet Hall,Barbecue ,Williamsburg,23,18,20,26
Madiba,African ,Fort Greene,23,24,21,32
Mae Mae Cafe,American ,Hudson Square,24,22,21,25
Maggie Brown,American ,Clinton Hill,23,19,20,24
Malagueta Restaurant,Brazilian ,Astoria,24,16,20,37
