Trade_Date,Total_Breaks,Trade_Total,Break_Rate,Day of week,Logged break rate,Label,Day number,wt
34983,196,3616,5.420353982,Wednesday,0.73402765,,3,2.034417419
34984,164,2446,6.704824203,Thursday,0.826387395,,4,1.006027108
34985,132,2464,5.357142857,Friday,0.728933228,,5,0.816027432
34988,197,2499,7.883153261,Monday,0.89669997,,1,0.525099769
34989,189,2546,7.423409269,Tuesday,0.870603405,,2,1.7087445
34990,122,2379,5.128205128,Wednesday,0.709965389,,3,2.034417419
34991,241,3223,7.47750543,Thursday,0.873756737,,4,1.006027108
34992,186,3161,5.884213856,Friday,0.769688448,,5,0.816027432
34995,238,2379,10.00420345,Monday,1.000182515,,1,0.525099769
34996,180,3220,5.590062112,Tuesday,0.747416633,,2,1.7087445
34997,249,4594,5.420113191,Wednesday,0.734008356,,3,2.034417419
34998,227,3513,6.461713635,Thursday,0.810347707,,4,1.006027108
34999,258,3667,7.035724025,Friday,0.847308796,,5,0.816027432
35002,235,2368,9.923986486,Monday,0.996686164,,1,0.525099769
35003,161,1823,8.83159627,Tuesday,0.946039207,,2,1.7087445
35004,157,1590,9.874213836,Wednesday,0.994502528,,3,2.034417419
35005,257,1659,15.4912598,Thursday,1.190086737,,4,1.006027108
35006,219,3221,6.799130705,Friday,0.83245339,,5,0.816027432
35009,209,2560,8.1640625,Monday,0.911906321,,1,0.525099769
35010,163,2453,6.644924582,Tuesday,0.822490056,,2,1.7087445
35011,191,2950,6.474576271,Wednesday,0.811211351,,3,2.034417419
35012,176,2466,7.137064071,Thursday,0.853519596,,4,1.006027108
35013,218,2645,8.241965974,Friday,0.916030817,,5,0.816027432
35016,158,2543,6.213134094,Monday,0.793310727,,1,0.525099769
35017,139,2168,6.411439114,Tuesday,0.806955522,,2,1.7087445
35018,193,2288,8.435314685,Wednesday,0.926101289,,3,2.034417419
35019,205,3781,5.421846072,Thursday,0.734147184,,4,1.006027108
35020,196,2871,6.826889586,Friday,0.834222879,,5,0.816027432
35023,297,3475,8.54676259,Monday,0.93180164,,1,0.525099769
35024,176,4316,4.077849861,Tuesday,0.610431232,,2,1.7087445
35025,224,4263,5.254515599,Wednesday,0.720532686,,3,2.034417419
35027,234,2940,7.959183673,Friday,0.900868527,,5,0.816027432
35030,79,1115,7.085201794,Monday,0.850352224,,1,0.525099769
35031,207,2974,6.960322798,Tuesday,0.842629381,,2,1.7087445
35032,198,3225,6.139534884,Wednesday,0.788135471,,3,2.034417419
35033,186,2754,6.753812636,Thursday,0.829549008,,4,1.006027108
35034,275,3470,7.925072046,Friday,0.899003219,,5,0.816027432
35037,292,3138,9.305289994,Monday,0.968729912,,1,0.525099769
35038,186,2897,6.420434933,Tuesday,0.807564449,,2,1.7087445
35039,187,3624,5.16004415,Wednesday,0.712653418,,3,2.034417419
35040,271,2680,10.1119403,Thursday,1.004834497,,4,1.006027108
35041,289,2902,9.958649207,Friday,0.998200435,,5,0.816027432
35044,245,2188,11.19744059,Monday,1.049118767,,1,0.525099769
35045,157,2651,5.922293474,Tuesday,0.772489925,,2,1.7087445
35046,177,2844,6.223628692,Wednesday,0.794043674,,3,2.034417419
35047,172,2340,7.35042735,Thursday,0.86631259,,4,1.006027108
35048,405,1897,21.34949921,Friday,1.329387692,,5,0.816027432
35051,350,3272,10.69682152,Monday,1.02925475,,1,0.525099769
35052,317,3507,9.039064728,Tuesday,0.956123496,,2,1.7087445
