Restaurant Name,Type,Location,Food,Decor,Service,Cost
La Lanterna di Vittorio,Italian ,Greenwich Village,20,23,20,30
La Palapa,Mexican ,East Village,22,18,21,36
Las Ramblas Bar de Tapas,undefined,West Village,23,17,20,38
Lavagna,Italian ,East Village,24,18,21,49
Le Gigot,French ,West Village,24,19,24,59
Le Pain Quotidien,Belgian ,Greenwich Village,18,14,15,25
Le Pain Quotidien,Belgian ,Greenwich Village,18,14,15,25
Left Bank,American ,West Village,20,20,22,51
Little Poland,Polish ,East Village,20,8,18,19
Louro,American ,West Village,21,18,22,65
Lucien,French ,East Village,23,17,20,49
Luke's Lobster,Seafood ,East Village,23,11,17,24
Lupa,Italian ,Greenwich Village,25,18,21,57
Maharlika,Filipino ,East Village,25,20,22,36
Malatesta Trattoria,Italian ,West Village,24,16,20,38
Mamoun's,Middle Eastern ,East Village,23,7,16,8
Mamoun's,Middle Eastern ,Greenwich Village,23,7,16,8
Maoz Vegetarian,Middle Eastern ,Greenwich Village,21,10,15,12
Market Table,undefined,West Village,23,20,21,54
Mary's Fish Camp,Seafood ,West Village,25,14,20,45
Mas (farmhouse),French ,West Village,27,25,26,96
Mas (la grillade),French ,West Village,23,22,24,78
Meme Mediterranean,Mediterranean ,West Village,22,16,20,41
Mercadito,Mexican ,East Village,24,16,18,34
Mercadito Grove,Mexican ,West Village,24,16,18,34
Mermaid Oyster Bar,American ,Greenwich Village,21,17,20,46
Meskerem,Ethiopian ,Greenwich Village,23,12,17,26
Mexicana Mama,Mexican ,West Village,23,15,19,34
Mighty Quinn's Barbeque,Barbecue ,East Village,24,13,16,23
Minetta Tavern,French ,Greenwich Village,24,21,21,67
Miss Lily's,Caribbean ,Greenwich Village,21,20,20,38
Mole,Mexican ,West Village,21,16,17,37
Momofuku Ko,American ,East Village,27,19,23,163
momofuku noodle bar,undefined,East Village,24,16,18,35
momofuku ssam bar,American ,East Village,25,17,20,50
Morandi,Italian ,West Village,23,21,20,53
Moustache Pitza,undefined,East Village,23,14,18,27
Negril Village,Caribbean ,Greenwich Village,23,21,20,38
Neta,Japanese ,Greenwich Village,27,18,23,114
Ngam,Thai ,East Village,22,17,21,37
North Square,American ,Greenwich Village,23,19,22,49
Northern Spy Food Co.,undefined,East Village,24,18,21,43
Num Pang,Cambodian ,Greenwich Village,25,7,16,13
Oaxaca,Mexican ,West Village,21,11,17,16
Ofrenda,Mexican ,West Village,23,16,20,39
"One if by Land, Two if by Sea",American ,West Village,24,27,25,117
OTTO Enoteca e Pizzeria,Italian ,Greenwich Village,23,19,20,40
Palma,Italian ,West Village,24,20,21,60
Peacefood Cafe,Vegan ,Greenwich Village,23,16,17,23
Pearl Oyster Bar,Oyster Bar ,West Village,26,16,20,49
Perbacco,Italian ,East Village,23,17,21,52
Perilla,American ,West Village,26,20,24,63
Perla,Italian ,Greenwich Village,24,21,23,66
Perry St,American ,West Village,26,25,24,68
Philip Marie,New American ,West Village,19,17,19,44
Piadina,Italian ,Greenwich Village,24,19,20,36
Piccolo Angolo,Italian ,West Village,26,14,22,47
Po,Italian ,West Village,25,17,22,54
Pommes Frites,Belgian ,East Village,24,10,16,10
Porsena,Italian ,East Village,22,15,19,50
Prune,American ,East Village,25,16,22,53
Pylos,Greek ,East Village,27,23,22,52
Quantum Leap,Vegetarian ,Greenwich Village,21,12,18,22
recette,New American ,West Village,24,18,21,75
RedFarm,Chinese ,West Village,25,17,21,53
Risotteria,Italian ,West Village,22,12,19,27
Robataya,Japanese ,East Village,23,22,22,55
Rosemary's,Italian ,West Village,21,22,19,51
S'MAC,American ,East Village,23,11,15,15
Sacred Chow,Vegan ,Greenwich Village,22,14,20,24
Sammy's Noodle Shop & Grill,Chinese ,West Village,20,10,17,27
Sant Ambroeus West Village,Italian ,West Village,21,19,19,61
Sevilla Restaurant & Bar,Spanish ,West Village,23,15,21,42
Snack Taverna,Greek ,West Village,23,16,20,37
Soba Koh,Japanese ,East Village,25,19,22,34
Soto Japanese Restaurant,Japanese ,West Village,27,19,21,104
Spasso,Italian ,West Village,23,19,21,53
Spice,Thai ,Greenwich Village,19,15,17,29
Spice,Thai ,Greenwich Village,19,15,17,29
Spice Thai Restaurant,Thai ,East Village,19,15,17,29
Spina,Italian ,East Village,25,19,22,45
Strip House,Steakhouse ,Greenwich Village,25,22,22,79
Strip House Next Door,American ,Greenwich Village,25,22,22,79
Supper,Italian ,East Village,25,19,20,43
SUSHISAMBA NYC West Village,Brazilian ,West Village,22,20,19,53
Taboonette,Mediterranean ,Greenwich Village,24,19,21,52
Takahachi,Japanese ,East Village,25,17,22,40
Takashi,Japanese ,West Village,26,18,22,69
Tarallucci e Vino,Italian ,East Village,20,18,19,38
Tartine,French ,West Village,22,15,18,33
Tea & Sympathy,British ,West Village,22,19,20,28
Terroir,Italian ,East Village,20,20,21,41
Tertulia,Spanish ,West Village,24,19,20,61
The Beatrice Inn,American ,West Village,17,22,21,68
The Kati Roll Company,Indian ,Greenwich Village,22,9,14,12
The Library at the Public Theater,American ,Greenwich Village,18,21,18,51
The Lion,American ,Greenwich Village,21,24,21,68
The little owl,Mediterranean ,West Village,25,19,23,58
The Marrow,German ,West Village,23,20,22,67
The Meatball Shop,American ,West Village,24,17,19,24
The Mermaid Inn,Seafood ,East Village,21,17,20,46
The Place,New American ,West Village,23,24,24,57
The Redhead,American ,East Village,22,15,19,41
The Smith,American ,East Village,19,17,18,43
The Spotted Pig,European ,West Village,24,20,19,49
Tomoe Sushi,Sushi ,Greenwich Village,26,10,16,48
Trattoria Pesce Pasta,Italian ,West Village,20,15,20,37
Trattoria Toscana,Italian ,West Village,25,16,23,47
Ushiwakamaru,Sushi ,Greenwich Village,28,18,23,89
Vanessa's Dumpling House,Chinese ,East Village,21,8,12,10
Veselka,Ukrainian ,East Village,20,13,17,23
Villa Mosconi,Italian ,Greenwich Village,23,17,22,49
Wallsé,Austrian ,West Village,26,22,24,78
Waverly Inn,American ,West Village,21,23,20,71
Westville,American ,West Village,23,14,18,26
Westville East,American ,East Village,23,14,18,26
Wong,Asian ,West Village,24,16,19,55
Yerba Buena,Latin American ,East Village,24,19,22,49
Yerba Buena,Latin American ,West Village,24,19,22,49
Yuba,Japanese ,Greenwich Village,23,18,21,48
Yuca Bar,Latin American ,East Village,21,16,18,31
Zabb Elee,Thai ,East Village,22,12,17,25
Zum Schneider,German ,East Village,21,18,19,32
